pk,spot_lng,spot_lat,spot_category,spot_pic,spot_content,spot_name,spot_url
1,139.643525,35.453596,4,uploaded_pic/1-1-20130829221323.jpg,散歩はもちろんのこと、お土産を買うこともできます。,横浜赤レンガ倉庫,http://www.yokohama-akarenga.jp/
2,139.6366807,35.4552036,3,uploaded_pic/1-2-20130829223850.jpg,観覧車が有名です,よこはまコスモワールド,http://cosmoworld.jp/
3,139.6310839,35.4552397,4,uploaded_pic/1-3-20130829223850.jpg,中にはホテルや商業施設が有ります,横浜ランドマークタワー,http://www.yokohama-landmark.jp/
4,139.6393333,35.4552703,3,uploaded_pic/1-5-20130829221322.jpg,text,カップヌードルミュージアム,http://www.cupnoodles-museum.jp/
5,139.6281951,35.4602614,4,,text,横浜みなとみらい21,http://www.minatomirai21.com/
6,139.6387944,35.4552786,4,uploaded_pic/1-7-20131001112233.JPG,text,汽車道,
7,139.6310839,35.4552397,4,,text,横浜ランドマークタワー69F展望フロア スカイガーデン,http://www.yokohama-landmark.jp/skygarden/page/
8,139.6431304,35.4522984,6,,12月上旬〜2月中旬(2016年現在),Art Rink in 横浜赤レンガ倉庫,http://www.yokohama-akarenga.jp/
9,139.6319669,35.4617167,4,,text,ブリリアショートショートシアター,
10,139.6309506,35.4564285,5,,text,横浜美術館,http://yokohama.art.museum/
11,139.63287,35.4539121,4,,text,帆船日本丸,http://www.nippon-maru.or.jp/
12,139.6330155,35.4557784,6,,11/7〜12/25 (2016年現在),クイーンズスクエア横浜クリスマス,http://www.qsy-tqc.jp/
13,139.635714,35.4587199,6,,text,パシフィコ横浜 (横浜国際平和会議場),http://www.pacifico.co.jp/
14,139.6383888,35.4582894,3,,text,臨港パーク,http://www.pacifico.co.jp/visitor/info/outside.html
15,139.6310839,35.4552397,4,,text,ドックヤードガーデン,http://www.yokohama-landmark.jp/tower/dock.html
16,139.6383888,35.4582894,4,,text,ぷかりさん橋,http://www.pacifico.co.jp/visitor/info/pukari.html
17,139.63287,35.4539121,3,,text,日本丸メモリアルパーク,http://www.nippon-maru.or.jp/top.html
18,139.6440441,35.4548426,5,,text,海上保安資料館横浜館,http://www.kaiho.mlit.go.jp/03kanku/kouhou/jcgm_yokohama/
19,139.6281951,35.4602614,6,,8月上旬,神奈川新聞花火大会,
20,139.6387944,35.4552786,3,,text,新港パーク,
21,139.6310839,35.4552397,6,,11/10〜12/25 (2016年現在),Landmark Bright Christmas,http://www.yokohama-landmark.jp/page/event/
22,139.631278,35.4651108,4,,text,マリノスタウン,http://www.f-marinos.com/marinostown/
23,139.642178,35.4446993,6,,6月上旬,横浜開港祭,http://www.kaikosai.com/
24,139.63287,35.4539121,5,,text,横浜みなと博物館（旧横浜マリタイムミュージアム）,http://www.nippon-maru.or.jp/
25,139.6310839,35.4552397,6,,毎日,ドックヤード　プロジェクションマッピング,http://www.yokohama-landmark.jp/web/pickup/special/13dockyard_pm/top.html
